	ID	Priority	Category	Title	Question	Why	Possible Assumption	Answer/Comment
Business Logic								
	1	Medium	Business Logic	Keyword Matching	Should keyword matching be case-sensitive? 'Ipod' vs 'ipod' appear in the search keywords	Case sensitivity could differ the output.	"We can assume case insensitivity, since the intent is same"	
	2	High	Business Logic	Search Engines	Which search engines are in scope?	"We need to do the identify the set of search engines, because query parameter for search query is different. In the input it is mostly q except for yahoo (p)"	"For now, we can assume search engines mentioned in the spec"	
	3	Low	Business Logic	Search query parameter	Do we have mapping of search engine and search query parameter?	"From the input, observed that yahoo search engine is using p as query parameter for search query, where as other search engines are using q."	"Can hardcode a config map for now — google.com -> q, bing.com -> q, yahoo.com -> p, msn.com -> q. Makes it easy to add new engines later without touching the core logic."	
	4	Medium	Business Logic	Encoding	"URL encoding converts the special, unsafe or non ASCII characters to valid ASCII characters. What kind of character set we can assume for the query string? "		Can assume UTF-8 and decode all query strings. parse_qs would be able to handle this. Need some more testing.	
	5	Low	Business Logic	Sub Domains	Should sub-domains of search engines be treated as valid? e.g. images.google.com		"For simplicity, we can consider only main domains from the search engine list."	
	6	High	Business Logic	Session	How is a session defined? Do we need to cap the duration between search and purchase?	"With the specified input, we can consider only ip or ip with user agent as the session identifier. But there's no session boundary defined, so a search from days ago could still get credited for a much more recent purchase."	"For simplicity, we can ignore the duration."	
	7	High	Business Logic	Attribution Model	What attribution model should be used? First-touch (search engine that first referred the visitor) or last-touch (most recent search engine before purchase)?	"The two models will give completely different results. One can argue that the first touch was the originator. Do we need to split it, or assign it to either first-touch or last touch search engine"	Last touch search engine. 	
	8	Medium	Business Logic	Grouping Strategy	Do we need to group by IP and user agent or just by IP to find attribution?	"It is possible that person logs in from one browser, search it and add it to cart. Then logs in from another browser and complete the purchase. "	"Group by IP only to start. If it is a really significant pattern in the data, then we can revisit with IP + user agent."	
	9	Low	Business Logic	NAT	NAT routers can modify IP address which could be shared by multiple devices.	"In big spaces e.g. office or schools, many people could share same IP and the purchase by one user/visitor could be attributed to search by other user/visitor"	Ignore this case.	
	10	Low	Business Logic	Zero revenue users/visitors	Should users who came from a search engine but did not purchase still appear in the report?		We can ignore these as it may not provide significant value to client and create noise.	
	11	High	Business Logic	Region and Currency	Do we need to consider different regions other than US and currency exchange to get the correct revenue?	The current URLs are not showing currency symbol. It will not reflect correct analysis for different regions and currencies 	No currency conversion for now.	
	12	High	Business Logic	Joining Condition	Do we need to use the referrer search term to do match (contains) the product name? Or the product list from the event_type 2 (product view)?			
Data Quality								
	13	Medium	Data Quality	hit_time_gmt sorting	Is hit_time_gmt guaranteed to be chronologically sorted within the file?	This will affect the way we do file processing.	Don't assume sorted.	
	14	High	Data Quality	Mandatory Fields	"How should we handle rows with a null or empty values for mandatory fields? Also, which are optional fields? e.g. event_list and product_list."		"Treat ip, hit_time_gmt, referrer as mandatory fields"	
	15	High	Data Quality	Handle Missing Values	How should we handle missing values? Should we do listwise deletion or average imputation? e.g. What if event_list contains 1 but product_list is empty or has no revenue?			
	16	Low	Data Quality	Negative Revenue	Is there any use case of negative revenue? e.g. Refund transactions		Assume that this is not a valid case or in this case the revenue will be 0.	
Infrastructure								
	17	Low	Infrastructure	SLAs	Do we have any SLA requirements when processing large files?		Under 5 min.	